ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
nic70:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic70:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 1417648000, 178388335624000000, 70, 16000, 141906000
nic71:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 2005680, 18611555992, 252, 224, 19886
nic71:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 2013600, 32229361920, 252, 360, 16384
nic71:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic71:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 1420708000, 176769364456000000, 77, 16000, 141882000
nic9:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 6040800, 96688085760, 756, 360, 16384
nic9:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic9:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 661582000, 19236206932000000, 150, 2000, 54622000
nic10:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 3090967, 31621078233, 756, 238, 29854
nic10:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 6040800, 96688085760, 756, 360, 16384
nic10:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic10:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 707470000, 18018636774000000, 169, 2000, 52478000
nic11:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 2893708, 23019904944, 756, 232, 19318
nic11:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 6040800, 96688085760, 756, 360, 16384
nic11:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic11:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 787722000, 17991712650000000, 144, 10000, 45742000
nic12:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 2223074, 20392711100, 756, 154, 23518
nic12:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 6040800, 96688085760, 756, 360, 16384
nic12:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic12:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 788448000, 21246903128000000, 163, 16000, 55902000
nic13:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 3741122, 48780081576, 756, 148, 29630
nic13:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 6040800, 96688085760, 756, 360, 16384
nic13:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic13:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 815868000, 22684075592000000, 178, 4000, 49062000
nic14:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 5269063, 83193144279, 756, 156, 34782
nic14:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 6040800, 96688085760, 756, 360, 16384
nic14:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic14:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 934296000, 56500230568000000, 198, 10000, 81350000
nic15:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 1897973, 7255592759, 756, 142, 10686
nic15:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 6040800, 96688085760, 756, 360, 16384
nic15:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic15:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 848291000, 36664870945000000, 151, 2000, 66462000
nic16:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 2048564, 12202609424, 756, 146, 22238
nic16:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 6040800, 96688085760, 756, 360, 16384
nic16:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic16:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 941162000, 61912039138000000, 134, 14000, 89582000
nic17:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 2463881, 18797615675, 756, 146, 20222
nic17:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 6040800, 96688085760, 756, 360, 16384
nic17:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic17:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 881763000, 49344459617000000, 150, 2000, 78030000
